sex,age,address,Medu,Fedu,studytime,failures,schoolsup,famsup,internet,absences,G1,G2
F,19,U,2,2,3,0,no,no,yes,0,12,13
F,17,R,1,1,1,0,no,yes,yes,0,11,11
F,20,U,3,3,2,1,no,no,yes,8,11,9
F,17,U,1,1,3,0,no,yes,no,0,11,11
M,17,R,2,2,1,1,no,yes,yes,0,10,9
F,16,R,1,1,2,0,no,yes,no,0,16,17
F,17,R,2,2,2,0,no,yes,no,0,15,17
F,17,U,1,0,2,0,no,no,yes,1,11,9
F,18,R,1,1,2,1,no,yes,yes,9,7,7
F,16,U,3,1,1,0,no,no,yes,0,8,6
F,16,U,3,2,1,0,no,no,yes,2,7,6
F,18,U,1,1,2,0,yes,no,no,8,9,8
F,16,R,4,4,2,0,no,no,yes,0,14,16
F,16,R,1,2,1,0,no,no,yes,0,14,14
F,18,U,2,4,2,1,no,yes,yes,8,8,5
M,16,R,2,1,2,0,no,no,yes,0,8,7
F,16,U,1,1,2,0,no,yes,yes,6,6,8
F,16,R,2,3,2,0,no,yes,yes,0,8,10
F,16,U,4,4,2,0,no,yes,yes,4,8,8
M,18,U,4,4,4,0,no,yes,yes,2,5,6
F,16,R,3,4,2,0,no,yes,no,2,7,9
M,17,U,4,4,3,0,no,yes,yes,0,15,14
F,17,R,4,1,1,0,no,no,yes,1,13,14
M,16,U,2,2,3,0,no,no,no,0,10,9
F,17,R,2,2,1,0,no,yes,yes,5,9,9
F,16,U,4,4,1,0,no,yes,no,1,11,11
M,17,U,3,3,1,0,no,yes,yes,8,7,10
M,17,U,1,1,2,0,no,no,yes,0,10,10
M,16,U,2,1,2,0,no,no,yes,2,9,7
F,16,U,2,1,2,0,no,no,yes,0,14,15
M,16,U,4,4,1,0,no,yes,yes,0,11,12
M,15,R,1,2,2,0,no,yes,no,11,9,11
M,15,U,2,2,4,0,no,yes,no,8,13,14
M,15,U,2,1,1,0,no,no,yes,11,12,13
F,16,R,2,2,3,0,no,yes,no,2,11,11
F,16,U,4,1,2,0,no,yes,yes,8,9,10
F,17,U,3,2,1,0,no,no,no,5,9,11
F,17,R,2,2,2,0,yes,no,no,0,11,9
F,16,U,4,4,3,0,no,yes,yes,1,10,11
M,17,R,4,4,1,3,no,no,yes,2,9,9
M,17,R,1,3,1,0,no,no,no,2,12,11
M,17,U,3,4,2,1,no,yes,yes,8,8,9
F,17,U,4,4,2,0,no,yes,yes,0,13,15
M,16,R,4,1,1,0,no,no,yes,0,10,11
F,17,U,1,1,2,0,no,no,yes,2,11,10
F,17,R,4,2,2,0,yes,yes,yes,0,17,18
M,16,U,2,2,2,0,no,yes,yes,0,12,13
M,17,U,3,2,2,0,no,yes,yes,0,13,14
M,19,U,1,1,2,2,no,yes,yes,2,9,9
M,17,U,1,0,1,0,no,no,no,4,11,11
F,17,R,1,1,1,0,no,yes,yes,3,10,11
F,16,R,1,2,3,0,yes,yes,yes,5,13,14
M,16,R,1,2,1,0,no,no,no,4,9,10
F,17,R,3,1,2,3,no,yes,yes,2,7,9
M,17,R,2,2,1,0,no,no,no,0,8,13
M,18,R,1,0,1,1,yes,yes,no,0,12,12
M,17,R,1,1,1,0,no,yes,yes,0,10,9
M,18,U,1,1,2,0,no,yes,no,6,10,9
F,16,R,2,2,2,0,no,no,no,0,11,13
M,17,U,2,2,1,1,no,no,no,0,7,0
M,16,R,3,2,1,0,no,no,yes,2,11,9
M,16,R,1,1,1,0,no,no,yes,0,10,10
M,18,R,1,1,1,1,no,yes,yes,2,9,7
M,18,R,3,2,1,1,no,no,yes,0,4,0
M,19,U,3,2,1,3,no,no,no,4,6,11
M,18,U,3,3,2,2,no,yes,yes,9,4,8
M,16,R,2,2,1,0,no,yes,yes,6,7,8
M,19,U,2,1,1,3,no,no,yes,4,8,9
F,16,U,3,2,2,2,no,yes,no,8,5,5
F,17,U,1,1,1,0,no,yes,no,9,7,9
M,20,R,1,1,1,1,no,yes,yes,12,8,11
F,18,R,4,3,1,0,no,yes,yes,8,10,11
M,18,R,3,2,1,0,no,yes,yes,8,9,10
M,19,R,1,1,2,1,no,no,yes,8,10,9
M,17,U,3,3,2,1,no,yes,yes,4,8,9
M,18,U,1,3,1,0,no,no,yes,0,9,10
M,19,R,1,1,1,1,no,yes,yes,4,8,9
F,18,U,1,2,2,2,no,yes,no,2,6,8
F,19,U,1,1,1,0,no,yes,no,0,6,8
F,18,R,2,2,1,1,no,no,yes,0,8,6
F,17,R,0,0,1,0,no,yes,yes,0,10,11
F,17,R,3,1,3,0,no,yes,no,5,8,7
F,17,U,4,2,2,0,yes,yes,yes,0,8,8
F,18,R,2,2,2,1,no,yes,yes,3,7,6
F,17,U,4,1,1,0,no,yes,no,0,8,10
F,17,U,1,2,1,0,no,no,yes,0,7,10
F,18,U,1,1,2,2,no,no,no,3,7,8
F,18,U,2,2,2,0,no,no,yes,2,12,13
F,17,U,3,3,1,0,no,yes,yes,0,11,12
F,18,U,1,2,2,0,no,no,yes,0,12,13
F,18,U,4,4,2,0,no,no,yes,0,18,18
M,18,U,4,4,1,0,no,yes,yes,3,17,17
F,17,U,4,2,2,0,no,yes,yes,0,17,18
F,18,R,2,2,2,1,no,no,no,0,9,0
M,18,U,1,2,1,0,no,yes,no,8,10,11
M,18,R,4,4,1,0,no,yes,yes,5,12,13
M,17,R,1,1,1,0,no,no,no,4,12,13
F,18,U,2,2,2,0,no,yes,yes,4,8,8
F,18,U,2,2,3,0,no,no,yes,0,11,12
F,18,R,4,2,2,0,no,no,yes,0,5,0
F,18,U,1,1,2,1,no,no,no,2,9,10
F,19,U,1,1,1,1,no,no,no,0,5,0
F,17,U,4,2,4,0,no,no,yes,0,18,18
F,17,R,2,1,2,0,no,no,yes,5,11,11
F,18,U,1,1,2,0,no,no,no,2,8,10
F,18,U,1,2,2,0,no,yes,no,0,11,11
F,19,R,1,1,2,3,no,yes,no,0,8,0
F,18,R,2,2,3,0,no,no,yes,5,14,14
M,17,R,4,3,2,1,no,yes,yes,4,10,11
F,18,U,3,3,2,0,no,yes,no,0,10,10
F,17,R,4,4,2,0,no,yes,yes,2,12,12
F,17,U,3,2,2,0,no,no,no,0,15,14
M,18,U,1,1,1,0,no,no,yes,2,14,13
F,18,U,1,1,3,0,no,no,yes,0,19,17
F,18,R,1,2,2,0,no,no,no,0,16,15
F,18,U,3,3,2,0,no,yes,yes,6,13,12
F,17,U,4,4,2,0,no,yes,yes,4,15,14
F,17,R,1,2,2,0,no,no,no,0,13,13
M,18,R,1,3,2,0,no,yes,no,0,8,10
M,18,U,4,4,3,0,no,no,yes,0,15,16
F,17,R,1,1,1,1,no,yes,yes,0,8,8
F,18,U,2,3,1,0,no,yes,yes,0,10,10
F,18,R,4,4,2,0,no,yes,yes,0,7,5
M,18,R,1,2,1,0,no,yes,yes,3,9,10
F,17,U,2,2,3,0,no,no,no,8,10,11
F,17,R,1,2,1,0,no,no,yes,4,7,8
F,18,R,4,4,3,0,no,no,yes,0,15,17
F,18,R,1,1,3,0,no,no,yes,4,10,11
F,19,R,1,1,2,1,no,yes,yes,4,7,8
F,18,R,4,4,2,0,no,no,yes,1,13,14
F,18,U,3,3,2,0,no,no,yes,1,16,16
F,17,R,3,1,2,0,no,yes,yes,10,8,9
M,18,U,4,4,2,0,no,no,yes,4,17,18
M,18,R,2,1,1,0,no,no,yes,0,7,7
M,17,U,2,3,2,0,no,no,yes,4,14,15
M,19,R,1,1,1,1,no,no,no,0,5,8
M,18,R,4,2,1,1,no,no,no,0,7,7
F,18,R,2,2,3,0,no,no,no,0,14,17
F,17,U,4,3,2,0,no,no,yes,0,6,9
F,18,R,4,4,1,0,no,yes,yes,4,7,9
F,19,R,2,3,3,1,no,no,yes,4,10,11
F,18,U,3,1,2,0,no,yes,yes,4,15,15
F,18,U,1,1,2,0,no,no,no,6,11,12
M,17,U,3,1,1,0,no,no,yes,6,10,10
M,18,R,3,2,1,0,no,no,yes,4,10,11
